number;description;prix;statut
245;Petit vase, céramique Jasba, West Germany - Probablement 1960s;80;
246;Vide-poche céramique, attribué à François Caleca (Vallauris) 1950s ;80;
64;Petite table d’appoint, ronde, type desserte roulante Vintage chromée, 2 plateaux verre ;140;
25;"Table basse de salon « Coffee table » à plateau en céramique, piétement en métal noir - signée ADRI (fabricant de céramiques fondé en 1951 par le céramiste d'origine italienne Adriano Cevolini, souvent associé à J.Belarti) – Dimensions : 77x77 cm - Typiques du style ""Mid-Century Modern""";325;
211;Lampe de bureau ajustable en aluminium éditeur NEDALO circa 1950 - H 44 cm;275;
113;Table basse en fer forgé et carreaux de céramique – Dimensions : 56x99x69cm ;220;
219e;Petit pot en céramique texturisé, de style brutaliste, Pieter Groeneveldt (NL) (1960);75;
219f;Vase vintage 1920, décor floral et géométrique ;40;
219c;Pot à biscuit Taos (New Mexico studio) Vintage 1970 ;125;
164;Panneau de céramique (12) Poisson aux fleurs - Daté 72 - Signé Lassois – Dimensions : 61x46 cm Cadre bois ;225;
21;"Fauteuil du designer Ingmar Relling pour Westnofa en cuir brun et piètement en bois incurvé, modèle ""Manta"" (Design Scandinave) – 1970s – Très confortable ";850;
223b;Vase en grès Brun Guerin – Hauteur : 30 cm ;95;
144;Vase Gourde en faience ancienne Allemagne  - Camaieu bleu Hauteur : 21 cm ;80;
223a;Vase en céramique à fond bleu pastel - Maunier Vallauris Hauteur : 25 cm ;120;
178a;Grande coupe Murano allongée rouge ;80;
142;Huile sur toile vers 1900 - 60 x 70 cm -intérieur de maison flamande ;440;
204;Tableau « Etude de portraits » Huile sur toile signée en bas à droite – Dimensions : 80 x 60 cm ;220;
106;Service à café vintage orange et vert 34 pièces ;215;
210;Paire de fauteuils piètement chrome avec teck aux accoudoirs, attribution possible à BERNADOTTE S (Sigvard) (1907- 2002) – Dimension : 74x70x64cm ;1200;
182;Lampadaire en métal chromé à 5 lumières, pied marbre ;700;
166;Suspension/Lustre vintage en métal chromé et bobèches en verre de Murano design Gino Mazzega (1927-1994) 3 lumières ;570;
117;Vase Boch Keramis Art nouveau vers 1900 (1890 à la base) à décor floral peint - Hauteur : 25 cm ;110;
218;Grand pot en céramique Art Nouveau, de type porte-parapluie ou jardinière,  en faïence flamande à décor d'un blason stylisé -dragon- Hauteur: 62,5 Diam:26,5cm;300;
235;Ensemble de 3 cendriers, vintage, en céramique, bruns à dessin vert et blanc ;80;
216c;Petit Coupe signée Gouda (brun) 3/5 Hauteur 7,5 cm Diam 15,5 cm ;;vendu
241;Vase en forme de petite cruche, en céramique brune texturisée - Hauteur 17 cm ;;vendu
216e;Petit vase en céramique turquoise flammée brun à petit col - Hauteur 18 cm ;45;
